"price" "bed" bath" "renovation" "area"
"1" 199.9 3 1.75 18 98.9385
"2" 228 3 2 15 116.4966
"3" 235 3 2 10 120.77
"4" 285 4 2.5 5 146.5033
"5" 239 3 2 14 148.64
"6" 293 4 2 3 162.575
"7" 285 4 2.75 4 167.22
"8" 365 4 2 8 173.723
"9" 295 4 2.5 8 179.7615
"10" 290 4 2 9 180.9692
"11" 385 4 3 6 209.3966
"12" 505 3 2.5 8 241.54
"13" 425 4 3 10 260.12
"14" 415 4 3 10 278.7
"15" 400 2 2 6 74.5058
"16" 240 2 1 8 69.1176
"17" 270 2 1 4 100.1462
"18" 350 2 1 3 78.036
"19" 190 2 2 20 88.255
"20" 460 5 3 10 195.09
"21" 620 5 2 5 229.9275
"22" 510 6 3 5 336.7625
"23" 430 6 6 11 297.28
"24" 550 5 2.5 7 255.9395
"25" 680 5 3.5 2 357.2005
"26" 250 4 4 30 150

